Measurand,Direction,Nominal value,Tolerance 1 -d,Tolerance 1 +d,Tolerance 2 -d,Tolerance 2 +d,Tolerance 3 -d,Tolerance 3 +d
NRSHM0002_V_AA,X,229.42,-0.99,0.99,-1.98,1.98,-2.96,2.96
NRSHM0002_V_AA,Y,728.7,,,,,,
NRSHM0002_V_AA,Z,370.77,,,,,,
NRRVO0004_L_CA,X,254,-1,1,-2,2,-3,3
NRRVO0004_L_CA,Y,778.5,-1,1,-2,2,-3,3
NRRVO0004_L_CA,Z,434,-1,1,-2,2,-3,3
NRSVO0001_L_CA,X,595.2,-1,1,-2,2,-3,3
NRSVO0001_L_CA,Y,671.2,-1,1,-2,2,-3,3
NRSVO0001_L_CA,Z,809.35,-1,1,-2,2,-3,3
NRSSL0002_L_DG,X,721.05,-1,1,-2,2,-3,3
NRSSL0002_L_DG,Y,800.06,-1,1,-2,2,-3,3
NRSSL0002_L_DG,Z,28.04,-1,1,-2,2,-3,3
NRSBW0001_R_CA,X,1423,-1,1,-2,2,-3,3
NRSBW0001_R_CA,Y,800,-1,1,-2,2,-3,3
NRSBW0001_R_CA,Z,152,-1,1,-2,2,-3,3
NRSBW0004_R_LE,X,1476,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRSBW0004_R_LE,Y,802.41,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRSBW0004_R_LE,Z,206.02,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRBIP0002_R_CA,X,1436.51,-1,1,-2,2,-3,3
NRBIP0002_R_CA,Y,698.9,-1,1,-2,2,-3,3
NRBIP0002_R_CA,Z,147.19,-1,1,-2,2,-3,3
NRBII0001_R_LE,X,1581.66,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRBII0001_R_LE,Y,610.44,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRBII0001_R_LE,Z,960.41,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRSVS0006_O_BA,X,964.84,,,,,,
NRSVS0006_O_BA,Y,441.72,,,,,,
NRSVS0006_O_BA,Z,1046.17,-0.81,0.81,-1.62,1.62,-4,4
NRSVS0007_O_BA,X,965.62,,,,,,
NRSVS0007_O_BA,Y,516.12,,,,,,
NRSVS0007_O_BA,Z,1042.7,-0.92,0.92,-1.84,1.84,-2.77,2.77
NRSVS0014_O_BA,X,1052.76,,,,,,
NRSVS0014_O_BA,Y,427.85,,,,,,
NRSVS0014_O_BA,Z,1090.77,-0.96,0.96,-1.92,1.92,-2.88,4
