Measurand,Direction,Nominal value,Tolerance 1 -d,Tolerance 1 +d,Tolerance 2 -d,Tolerance 2 +d,Tolerance 3 -d,Tolerance 3 +d
RPS105Fz_ALN,Y,-467.25,-0.1,0.1,-0.2,0.2,-0.3,0.3
RPS105Fz_ALN,Z,161.93,-0.1,0.1,-0.2,0.2,-0.3,0.3
RPS105Fz_ALN2,X,0,,,,,,
RPS105Fz_ALN2,Y,0,,,,,,
RPS105Fz_ALN2,Z,0,,,,,,
RPS1Hxy_ALN2,X,0,,,,,,
RPS1Hxy_ALN2,Y,0,,,,,,
RPS1Hxy_ALN2,Z,0,,,,,,
RPS2Hy_ALN2,X,0,,,,,,
RPS2Hy_ALN2,Y,0,,,,,,
RPS2Hy_ALN2,Z,0,,,,,,
