Measurand,Nominal value,Tolerance 1 -d,Tolerance 1 +d,Tolerance 2 -d,Tolerance 2 +d,Tolerance 3 -d,Tolerance 3 +d
NRSTS0055_L_BA,713.02,-1.17,1.17,-2.34,2.34,-3.5,3.5
NRSTS0055_L_BA,757.7,,,,,,
NRSTS0240_V_BA,2134.28,-0.87,0.87,-1.74,1.74,-2.6,2.6
NRSTS0240_V_BA,853.78,,,,,,
NRSTS0240_V_BA,85.19,-0.82,0.82,-1.64,1.64,-2.47,2.47
NRSTS0232_V_BA,2473.77,-1.02,1.02,-2.04,2.04,-3.05,3.05
NRSTS0232_V_BA,837.22,,,,,,
NRSTS0232_V_BA,600.42,-0.63,0.63,-1.26,1.26,-1.88,1.88
NRSTS0230_V_BA,2501.42,-1.02,1.02,-2.04,2.04,-3.06,3.06
NRSTS0230_V_BA,833.18,,,,,,
NRSTS0230_V_BA,642.69,-0.62,0.62,-1.24,1.24,-1.86,1.86
NRSTS0228_V_BA,2513.84,-1.02,1.02,-2.04,2.04,-3.07,3.07
NRSTS0228_V_BA,824.75,,,,,,
NRSTS0228_V_BA,661.67,-0.61,0.61,-1.22,1.22,-1.84,1.84
NRSTS0213_U_BA,2543.56,-0.5,0.5,-1,1,-1.51,1.51
NRSTS0213_U_BA,650.56,-0.57,0.57,-1.14,1.14,-1.72,1.72
NRSTS0213_U_BA,929.9,-0.92,0.92,-1.84,1.84,-2.78,2.78
NRSTS0215_V_BA,2606.75,-0.92,0.92,-1.84,1.84,-2.75,2.75
NRSTS0215_V_BA,708.66,-0.38,0.38,-0.76,0.76,-1.13,1.13
NRSTS0215_V_BA,809.35,-0.68,0.68,-1.36,1.36,-2.04,2.04
NRSTS0226_V_BA,2525.35,-1.06,1.06,-2.12,2.12,-3.19,3.19
NRSTS0226_V_BA,807.33,,,,,,
NRSTS0226_V_BA,679.05,-0.55,0.55,-1.1,1.1,-1.64,1.64
NRSTS0239_R_BA,2136.53,,,,,,
NRSTS0239_R_BA,857.51,-1.19,1.19,-2.38,2.38,-3.57,3.57
NRSTS0239_R_BA,82.47,,,,,,
NRSTS0231_R_BA,2476.47,,,,,,
