Measurand,Nominal value,Tolerance 1 -d,Tolerance 1 +d,Tolerance 2 -d,Tolerance 2 +d,Tolerance 3 -d,Tolerance 3 +d
NRSTS0081_ORAA,1125.49,-1.16,1.16,-2.32,2.32,-3.47,3.47
NRSTS0085_ORAA,2191,,,,,,
NRSTS0085_ORAA,505.62,-0.31,0.31,-0.62,0.62,-0.93,0.93
NRSTS0085_ORAA,1104.49,-1.15,1.15,-2.3,2.3,-3.44,3.44
NRSTS0089_ORAA,2422.03,-0.32,0.32,-0.64,0.64,-0.96,0.96
NRSTS0089_ORAA,517.01,,,,,,
NRSTS0089_ORAA,1060.65,-1.14,1.14,-2.28,2.28,-3.41,3.41
NRSTS0091_O_AA,2460.06,-0.36,0.36,-0.72,0.72,-1.07,1.07
NRSTS0091_O_AA,519.36,,,,,,
NRSTS0091_O_AA,1048.94,-1.13,1.13,-2.26,2.26,-3.39,3.39
NRSTS0245_R_BA,1981.66,,,,,,
NRSTS0245_R_BA,846.25,-1.13,1.13,-2.26,2.26,-3.39,3.39
NRSTS0245_R_BA,0.71,-0.4,0.4,-0.8,0.8,-1.21,1.21
NRSTS0246_O_BA,1981.06,,,,,,
NRSTS0246_O_BA,837.8,,,,,,
NRSTS0246_O_BA,14.09,-1.18,1.18,-2.36,2.36,-3.54,3.54
NRSTS0258_R_BA,1330.3,,,,,,
NRSTS0258_R_BA,858.62,-1.12,1.12,-2.24,2.24,-3.37,3.37
NRSTS0258_R_BA,-9.99,-0.42,0.42,-0.84,0.84,-1.26,1.26
NRSTS0259_O_BA,1329.97,,,,,,
NRSTS0259_O_BA,850.23,,,,,,
NRSTS0259_O_BA,3.38,-1.18,1.18,-2.36,2.36,-3.54,3.54
NRSTS0262_R_BA,505.67,,,,,,
NRSTS0262_R_BA,861.8,-1.13,1.13,-2.26,2.26,-3.4,3.4
NRSTS0262_R_BA,-25.4,-0.4,0.4,-0.8,0.8,-1.19,1.19
NRSTS0263_O_BA,505.44,,,,,,
NRSTS0263_O_BA,853.35,,,,,,
NRSTS0263_O_BA,-12.01,-1.18,1.18,-2.36,2.36,-3.54,3.54
MRLVV1050_UDHA,-467,-0.1,0.1,-0.2,0.2,-0.3,0.3
MRLVV1050_UDHA,512.36,-0.1,0.1,-0.2,0.2,-0.3,0.3
MRLVV1050_UDHA,130.11,-0.1,0.1,-0.2,0.2,-0.3,0.3
RPS1_ALN1,-270.33,-0.1,0.1,-0.2,0.2,-0.3,0.3
RPS1_ALN1,473.6,-0.1,0.1,-0.2,0.2,-0.3,0.3
RPS1_ALN1,165.97,-0.1,0.1,-0.2,0.2,-0.3,0.3
RPS1_ALN2,-480.21,-0.1,0.1,-0.2,0.2,-0.3,0.3
RPS1_ALN2,523.66,-0.1,0.1,-0.2,0.2,-0.3,0.3
RPS1_ALN2,206.62,-0.1,0.1,-0.2,0.2,-0.3,0.3
MRLHU1002_ODHA,3052.66,-0.1,0.1,-0.2,0.2,-0.3,0.3
MRLHU1002_ODHA,523.93,-0.1,0.1,-0.2,0.2,-0.3,0.3
MRLHU1002_ODHA,107.14,-0.1,0.1,-0.2,0.2,-0.3,0.3
RPS2_ALN1,3087.81,-0.1,0.1,-0.2,0.2,-0.3,0.3
RPS2_ALN1,499.25,-0.1,0.1,-0.2,0.2,-0.3,0.3
RPS2_ALN1,130.97,-0.1,0.1,-0.2,0.2,-0.3,0.3
RPS2_ALN2,3212.04,-0.1,0.1,-0.2,0.2,-0.3,0.3
RPS2_ALN2,499.57,-0.1,0.1,-0.2,0.2,-0.3,0.3
RPS2_ALN2,131.21,-0.1,0.1,-0.2,0.2,-0.3,0.3
MLLHU1002_ODHA,3050.24,-0.1,0.1,-0.2,0.2,-0.3,0.3
MLLHU1002_ODHA,-520.67,-0.1,0.1,-0.2,0.2,-0.3,0.3
MLLHU1002_ODHA,104.5,-0.1,0.1,-0.2,0.2,-0.3,0.3
RPS5_ALN1,3085.33,-0.1,0.1,-0.2,0.2,-0.3,0.3
RPS5_ALN1,-493.33,-0.1,0.1,-0.2,0.2,-0.3,0.3
RPS5_ALN1,128.41,-0.1,0.1,-0.2,0.2,-0.3,0.3
RPS5_ALN2,3209.41,-0.1,0.1,-0.2,0.2,-0.3,0.3
RPS5_ALN2,-494.28,-0.1,0.1,-0.2,0.2,-0.3,0.3
RPS5_ALN2,128.25,-0.1,0.1,-0.2,0.2,-0.3,0.3
MLLVV1050_UDHA,-508.89,-0.1,0.1,-0.2,0.2,-0.3,0.3
MLLVV1050_UDHA,-511.94,-0.1,0.1,-0.2,0.2,-0.3,0.3
MLLVV1050_UDHA,127.52,-0.1,0.1,-0.2,0.2,-0.3,0.3
RPS105_ALN1,-214.08,-0.1,0.1,-0.2,0.2,-0.3,0.3
RPS105_ALN1,-466.5,-0.1,0.1,-0.2,0.2,-0.3,0.3
RPS105_ALN1,161.14,-0.1,0.1,-0.2,0.2,-0.3,0.3
RPS105_ALN2,-464.16,-0.1,0.1,-0.2,0.2,-0.3,0.3
RPS105_ALN2,-522.03,-0.1,0.1,-0.2,0.2,-0.3,0.3
RPS105_ALN2,206.46,-0.1,0.1,-0.2,0.2,-0.3,0.3
