Measurand,Direction,Nominal value,Tolerance 1 -d,Tolerance 1 +d,Tolerance 2 -d,Tolerance 2 +d,Tolerance 3 -d,Tolerance 3 +d
NRSTS0003_R_AA,X,1743,,,,,,
NRSTS0003_R_AA,Y,552.17,-0.98,0.98,-1.03,1.03,-3.08,3.08
NRSTS0003_R_AA,Z,1055.63,-0.59,0.59,-0.62,0.62,-1.87,1.87
NRDAS0008KH_BA,X,1138.46,-1,1,-2,2,-2.99,2.99
NRDAS0008KH_BA,Y,289.63,,,,,,
NRDAS0008KH_BA,Z,1121.78,,,,,,
NLSTS0106_R_BA,X,3263.77,,,,,,
NLSTS0106_R_BA,Y,-628.46,-1.12,1.12,-1.18,1.18,-4.13,2.93
NLSTS0106_R_BA,Z,774.68,,,,,,
NRSTS0146_O_BA,X,3186.9,,,,,,
NRSTS0146_O_BA,Y,802.51,,,,,,
NRSTS0146_O_BA,Z,525.19,-1.02,1.02,-2.04,2.04,-3.07,3.07
NRSTS0262_R_BA,X,505.67,,,,,,
NRSTS0262_R_BA,Y,861.8,-1.13,1.13,-2.26,2.26,-3.4,3.4
NRSTS0262_R_BA,Z,-25.4,-0.4,0.4,-0.8,0.8,-1.19,2
NLSTS0225_O_BA,X,2529.46,,,,,,
NLSTS0225_O_BA,Y,-810.29,-0.67,0.67,-1.34,1.34,-2,2
NLSTS0225_O_BA,Z,680.8,-1,1,-2,2,-2.99,2.99
NLSTS0010_L_AA,X,2597.07,,,,,,
NLSTS0010_L_AA,Y,-873.43,-1.2,1.2,-2.4,2.4,-3.6,3.6
NLSTS0010_L_AA,Z,402.1,,,,,,
NRSTS0101_O_BA,X,3134.96,-0.27,0.27,-0.36,0.36,-1.09,1.09
NRSTS0101_O_BA,Y,621.03,-0.29,0.29,-0.39,0.39,-1.18,1.18
NRSTS0101_O_BA,Z,803.33,-0.81,0.81,-1.07,1.07,-3.22,3.22
NRSTS0079_O_BA,X,1957.58,,,,,,
NRSTS0079_O_BA,Y,552.2,,,,,,
NRSTS0079_O_BA,Z,1139.32,-1.14,1.14,-2.28,2.28,-3.42,3.42
NRSTS0112_L_BA,X,3479.08,,,,,,
NRSTS0112_L_BA,Y,614,-1.12,1.12,-1.18,1.18,-2.94,4.14
NRSTS0112_L_BA,Z,736.98,,,,,,
NRSTS0206_U_BA,X,2052.55,,,,,,
NRSTS0206_U_BA,Y,596.78,,,,,,
NRSTS0206_U_BA,Z,1076.66,-1.03,1.03,-2.06,2.06,-3.1,3.1
NLDAS0010KR_BA,X,1275.96,,,,,,
NLDAS0010KR_BA,Y,-414.48,-1,1,-2,2,-3,3
NLDAS0010KR_BA,Z,1132.83,,,,,,
NLSTS0072_O_BA,X,1524.49,,,,,,
NLSTS0072_O_BA,Y,-560.12,,,,,,
NLSTS0072_O_BA,Z,1139.93,-1.12,1.12,-2.24,2.24,-3.35,3.35
HRSTI0004,X,781.98,-0.38,0.38,-0.5,0.5,-1.5,1.5
HRSTI0004,Y,628.52,-0.38,0.38,-0.5,0.5,-1.5,1.5
HRSTI0004,Z,913.95,-0.38,0.38,-0.5,0.5,-1.5,1.5
NLSTS0174_L_LE,X,399.35,-1.5,1.5,-3,3,-4.5,4.5
NLSTS0174_L_LE,Y,-798.38,-1.5,1.5,-3,3,-4.5,4.5
NLSTS0174_L_LE,Z,138.2,-1.5,1.5,-3,3,-4.5,4.5
NLDAA0009_ORAA,X,2421.29,,,,,,
NLDAA0009_ORAA,Y,-553.02,,,,,,
NLDAA0009_ORAA,Z,1066.17,-1.08,1.08,-1.14,1.14,-3.41,3.41
NRSTS0004_L_AA,X,937.9,,,,,,
NRSTS0004_L_AA,Y,606.27,-1.17,1.17,-2.34,2.34,-3.52,3.52
NRSTS0004_L_AA,Z,1034.83,,,,,,
NRDAS0014KL_BA,X,1551.17,,,,,,
NRDAS0014KL_BA,Y,416.83,,,,,,
NRDAS0014KL_BA,Z,1150.56,,,,,,
NLDAA0033_O_BA,X,2446.69,,,,,,
NLDAA0033_O_BA,Y,-530.18,,,,,,
NLDAA0033_O_BA,Z,1063.07,-1.08,1.08,-1.14,1.14,-3.41,3.41
NRSTS0230_V_BA,X,2501.42,-1.02,1.02,-2.04,2.04,-3.06,3.06
NRSTS0230_V_BA,Y,833.18,,,,,,
NRSTS0230_V_BA,Z,642.69,,,,,,
NLSTS0093_R_BA,X,2491.24,,,,,,
NLSTS0093_R_BA,Y,-563.42,-1.18,1.18,-2.36,2.36,-3.53,3.53
NLSTS0093_R_BA,Z,1041.55,,,,,,
NLDAS0015KO_BA,X,1686.46,,,,,,
NLDAS0015KO_BA,Y,-289.92,,,,,,
NLDAS0015KO_BA,Z,1164.04,-1,1,-2,2,-3,3
NLSTS0111_O_BA,X,3480.26,-0.66,0.66,-0.7,0.7,-2.09,2.09
NLSTS0111_O_BA,Y,-617.21,-0.52,0.52,-0.55,0.55,-1.66,1.66
NLSTS0111_O_BA,Z,738.1,-0.77,0.77,-0.81,0.81,-2.42,2.42
NRDAS0010KL_BA,X,1275.96,,,,,,
NRDAS0010KL_BA,Y,414.48,,,,,,
NRDAS0010KL_BA,Z,1132.83,,,,,,
NLSTS0201_L_BA,X,1624.23,,,,,,
NLSTS0201_L_BA,Y,-594.29,-0.98,0.98,-1.96,1.96,-2.96,2.96
NLSTS0201_L_BA,Z,1103.23,-0.69,0.69,-1.38,1.38,-2.06,2.06
